game_id,time,human_id,ai_id,condition,difficulty,confidence,comments,game,round,human_action,human_rt,ai_action,ai_rt,winner
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,9,grass,950,fire,696.4430464,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,10,fire,3652,grass,2708.75992,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,11,grass,1205,water,1490.521068,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,12,grass,2641,fire,1179.000403,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,13,fire,1708,grass,957.9655966,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,14,water,1507,water,1811.297281,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,15,water,1047,fire,835.243036,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,16,grass,1275,grass,1748.499305,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,17,grass,953,water,2576.602199,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,18,fire,966,fire,1528.899583,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,19,fire,659,fire,2674.384567,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,20,grass,1671,grass,2020.6335,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,21,grass,1046,water,2819.345742,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,22,water,810,fire,2988.449251,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,23,water,2271,grass,525.4443345,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,24,grass,1001,water,1257.98621,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,25,grass,946,fire,2211.074964,ai
